LotUUID,LotNo,StockNo,AuctionUUID,AuctionNo,AuctionTitle,Category,Title,ShortDescription,Description,Status,Currency,LowEstimate,HighEstimate,StartPrice,Reserve,BuyNowPrice,Quantity,NumOfBids,LastBidAmount,WinningBidAmount,IsStarted,StartDate,EndDate,ImageURLs,NrOfImages,DynamicFields
4e888533-1a40-448d-9420-5173b6c7cb68,1,26-0301/1,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",City beach with a castle,"Harm Kamerlingh Onnes (1893-1985), City beach with a castle","<h3>Painter / Artist / School</h3>Harm Kamerlingh Onnes (1893-1985)<h3>Technique / Size</h3>oil on board, 40x50 cm (57x67 cm incl. frame)<h3>Signature / Dating</h3>signed with initials and dated ''69/HHKO' (lower right)",published,EUR,1000.0,1500.0,900.0,,,1,1,900.0,900.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/131a06e9-daaf-4e78-a30b-8e57c64d450d/801f3b50-61c7-45a3-a8a1-ec35bc40b0e6/0001_yLcwjN_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/131a06e9-daaf-4e78-a30b-8e57c64d450d/3e009d14-ea59-4139-a681-dc03fc9dc3c0/0002_WMFxJJ_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/131a06e9-daaf-4e78-a30b-8e57c64d450d/0c850ba6-420d-40cd-be7d-63db5def63d4/0003_WzmNxt_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/131a06e9-daaf-4e78-a30b-8e57c64d450d/f5e1ae56-a3de-4d05-a382-3a9d20e723de/0004_sTrnhX_sm.jpeg,4,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Harm Kamerlingh Onnes (1893-1985)"", ""period"": null, ""signature_dating"": ""signed with initials and dated ''69/HHKO' (lower right)"", ""technique_size"": ""oil on board, 40x50 cm (57x67 cm incl. frame)"", ""title"": ""City beach with a castle"", ""total"": null, ""weight_size_quality"": null}"
3eeb6d09-53a6-4e75-9ffc-4af851dd42e5,2,26-0301/3,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Flowers in a blue pot,"Harm Kamerlingh Onnes (1893-1985), Flowers in a blue pot","<h3>Painter / Artist / School</h3>Harm Kamerlingh Onnes (1893-1985)<h3>Technique / Size</h3>oil on board, 30x24 cm (47,5x41,5 cm incl. frame)<h3>Signature / Dating</h3>signed with initials and dated 'HHKO/60' (upper right)",published,EUR,400.0,600.0,300.0,300.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ed83d850-b06b-4ebf-8d3b-5012551de0e8/9b649349-718b-441e-b25a-293f6bc02667/0001_kgzbJm_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ed83d850-b06b-4ebf-8d3b-5012551de0e8/86fbee5e-0801-4e62-a832-9d1315c89ff3/0002_xiVdyn_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ed83d850-b06b-4ebf-8d3b-5012551de0e8/455e760a-ada0-4dd1-955b-1613cc0769cd/0003_BtOrIS_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ed83d850-b06b-4ebf-8d3b-5012551de0e8/6badb74e-b5cc-4fdd-b6cb-1b1e070d26b1/0004_tZlrLH_sm.jpeg,4,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Harm Kamerlingh Onnes (1893-1985)"", ""period"": null, ""signature_dating"": ""signed with initials and dated 'HHKO/60' (upper right)"", ""technique_size"": ""oil on board, 30x24 cm (47,5x41,5 cm incl. frame)"", ""title"": ""Flowers in a blue pot"", ""total"": null, ""weight_size_quality"": null}"
1eee976b-dfe7-4e5f-8066-5587603bb576,3,26-0404/85,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Dressing on the edge of the bed,"Stuart Ray (English, 1916-1985), Dressing on the edge of the bed","<h3>Painter / Artist / School</h3>Stuart Ray (English, 1916-1985)<h3>Technique / Size</h3>oil on panel, 19x21 cm (28x30 cm incl. frame)<h3>Signature / Dating</h3>signed with initials 'SR' (lower right)",published,EUR,200.0,300.0,100.0,100.0,,1,1,100.0,100.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/417ea94f-2d34-4967-841a-9edf0adcfb9f/0320bc67-2d0c-4be6-a934-baa4b8633038/0001_bzLiUp_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/417ea94f-2d34-4967-841a-9edf0adcfb9f/8b2d1ecf-661c-4f69-858e-4a2579cda52d/0002_spdjdB_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/417ea94f-2d34-4967-841a-9edf0adcfb9f/731f6ac8-219e-4996-a5cb-96cc34785823/0003_mcKTVQ_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/417ea94f-2d34-4967-841a-9edf0adcfb9f/f65fa70a-ebe1-4373-8acf-1ee2a074bfe7/0004_alwxFH_sm.jpeg,4,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Stuart Ray (English, 1916-1985)"", ""period"": null, ""signature_dating"": ""signed with initials 'SR' (lower right)"", ""technique_size"": ""oil on panel, 19x21 cm (28x30 cm incl. frame)"", ""title"": ""Dressing on the edge of the bed"", ""total"": null, ""weight_size_quality"": null}"
55aa9b2e-35b3-4371-8243-35ed85e8e778,4,26-0404/73,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Half nude by the table with flowers,"Stuart Ray (English, 1916-1985), Half nude by the table with flowers","<h3>Painter / Artist / School</h3>Stuart Ray (English, 1916-1985)<h3>Technique / Size</h3>oil on board, 38,5x46 cm (54x62 cm incl. frame)",published,EUR,300.0,400.0,200.0,200.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/e0deb2c1-c115-4795-beca-416ed5f5cc21/d57d705c-3540-4272-b55a-53dbd0d68ef8/0001_nvAsjx_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/e0deb2c1-c115-4795-beca-416ed5f5cc21/f0b9a05c-d1e8-4677-8d4c-228932a2abe4/0002_NQNrkF_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/e0deb2c1-c115-4795-beca-416ed5f5cc21/b7d37452-7bc5-4256-ad45-b9b7da7a40fe/0003_NOWeIt_sm.jpeg,3,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Stuart Ray (English, 1916-1985)"", ""period"": null, ""signature_dating"": null, ""technique_size"": ""oil on board, 38,5x46 cm (54x62 cm incl. frame)"", ""title"": ""Half nude by the table with flowers"", ""total"": null, ""weight_size_quality"": null}"
52d33c0c-8757-4c6f-be0d-7fba3ba27b62,5,26-0404/83,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Hanging the laundry in Leeuwarden,"Ids Wiersma (1878-1965), Hanging the laundry in Leeuwarden","<h3>Painter / Artist / School</h3>Ids Wiersma (1878-1965)<h3>Literature</h3><p>Exhibited:<br>-Drachten, Museum Dr8888 (label attached to the reverse).</p><h3>Technique / Size</h3>oil on panel, 23x26 cm (36,5x40 cm incl. frame)<h3>Signature / Dating</h3>signed and annotated 'Ids Wiersma/Friesland' (on the reverse)",published,EUR,300.0,400.0,200.0,200.0,,1,3,240.0,240.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/38745180-d001-4434-add1-e125d87980cf/1bc89808-4dfb-44fb-9c08-aa5b99b4b8f1/0001_PQjrgA_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/38745180-d001-4434-add1-e125d87980cf/770efc68-96f0-4752-8898-c6bdff6f9429/0002_iPMvIb_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/38745180-d001-4434-add1-e125d87980cf/f267e4aa-aada-4b0a-b6de-1f6437068f36/0003_TZDXxg_sm.jpeg,3,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": ""<p>Exhibited:<br>-Drachten, Museum Dr8888 (label attached to the reverse).</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Ids Wiersma (1878-1965)"", ""period"": null, ""signature_dating"": ""signed and annotated 'Ids Wiersma/Friesland' (on the reverse)"", ""technique_size"": ""oil on panel, 23x26 cm (36,5x40 cm incl. frame)"", ""title"": ""Hanging the laundry in Leeuwarden"", ""total"": null, ""weight_size_quality"": null}"
de99e98d-482d-4f08-b6a6-654a3558a8d1,6,26-0460/7,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Girl and woman by a table ,"Theo Kurpershoek (1914-1998) , Girl and woman by a table ","<h3>Painter / Artist / School</h3>Theo Kurpershoek (1914-1998)<h3>Technique / Size</h3>oil on canvas, 65x50 cm (80x65 cm incl. frame)<h3>Signature / Dating</h3>signed and indistinctly dated 'Th. Kurpershoek' (lower right)",published,EUR,1000.0,1500.0,1000.0,1000.0,,1,1,1000.0,1000.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/26ada488-3abc-4c27-8744-be637b8db824/27a1f539-fcae-4947-9feb-3daf95c7fca6/0001_RVpBER_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/26ada488-3abc-4c27-8744-be637b8db824/c90c46e6-2126-46b9-a166-8b0669bfdf8f/0002_OOwKVA_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/26ada488-3abc-4c27-8744-be637b8db824/b1d87ab1-1f83-4c43-9fca-7358c1ada90f/0003_HszGOu_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/26ada488-3abc-4c27-8744-be637b8db824/fc45f7a2-a4ab-4c57-b6ac-deeb5397970a/0004_FInHzN_sm.jpeg,4,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Theo Kurpershoek (1914-1998) "", ""period"": null, ""signature_dating"": ""signed and indistinctly dated 'Th. Kurpershoek' (lower right)"", ""technique_size"": ""oil on canvas, 65x50 cm (80x65 cm incl. frame)"", ""title"": ""Girl and woman by a table "", ""total"": null, ""weight_size_quality"": null}"
4be5279d-789e-4955-8db7-1002d69838c7,7,26-0404/71,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Blossom in a hilly landscape,"Theo Goedvriend (1879-1969), Blossom in a hilly landscape","<h3>Painter / Artist / School</h3>Theo Goedvriend (1879-1969)<h3>Technique / Size</h3>oil on panel, 32,5x38,5 cm (45x53 cm incl. frame)",published,EUR,500.0,700.0,400.0,400.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/cd588be8-8c39-4ee2-8d14-44e339873810/7f07308b-9ce1-46d7-b782-fa2f38e0eb12/0001_dndWhe_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/cd588be8-8c39-4ee2-8d14-44e339873810/a500573f-19ed-4a46-b6c5-e63846505d23/0002_HzIsEB_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/cd588be8-8c39-4ee2-8d14-44e339873810/dfb2fcc7-bd77-4313-82b1-12c5ee67044c/0003_NloKAj_sm.jpeg,3,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Theo Goedvriend (1879-1969)"", ""period"": null, ""signature_dating"": null, ""technique_size"": ""oil on panel, 32,5x38,5 cm (45x53 cm incl. frame)"", ""title"": ""Blossom in a hilly landscape"", ""total"": null, ""weight_size_quality"": null}"
84e192a6-5c94-4cf1-a460-0bcc955e71a4,8,26-0529/14,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Bedside,"Pierre Paulus (Belgian, 1881-1959), Bedside","<h3>Painter / Artist / School</h3>Pierre Paulus (Belgian, 1881-1959)<h3>Literature</h3><p>Provenance:<br>-Auction, Sotheby's, Amsterdam, 25 October 1999, lot 103 (label attached to the stretcher).<br>-Auction, AAG, Amsterdam, 31 March 2014, lot 434.</p><h3>Technique / Size</h3>oil on paper, mounted on canvas, 60x50 cm (71x62 cm incl. frame)<h3>Signature / Dating</h3>signed 'P Paulus' (lower right)",published,EUR,1000.0,1500.0,900.0,900.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/676f38da-4c0b-444f-88ec-b1cc96634170/e4aec0f3-80c3-43ec-85a0-550d2fa0906c/0001_EknjQJ_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/676f38da-4c0b-444f-88ec-b1cc96634170/57d9d512-fd4d-413e-9982-fd620bc67550/0002_BcnvQY_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/676f38da-4c0b-444f-88ec-b1cc96634170/d50ecdff-6d59-4ea3-8874-5212b0c5ac34/0003_zDpYPp_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/676f38da-4c0b-444f-88ec-b1cc96634170/3336184c-a5fc-4838-b5e6-474d6d2da265/0004_eIppqA_sm.jpeg,4,"{""artist_retail_right"": true, ""comments"": ""<p>https://rkd.nl/imageslite/3800784</p>"", ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": ""<p>Provenance:<br>-Auction, Sotheby's, Amsterdam, 25 October 1999, lot 103 (label attached to the stretcher).<br>-Auction, AAG, Amsterdam, 31 March 2014, lot 434.</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Pierre Paulus (Belgian, 1881-1959)"", ""period"": null, ""signature_dating"": ""signed 'P Paulus' (lower right)"", ""technique_size"": ""oil on paper, mounted on canvas, 60x50 cm (71x62 cm incl. frame)"", ""title"": ""Bedside"", ""total"": null, ""weight_size_quality"": null}"
d30bacb8-f014-4e1f-9d59-50dd7f6cfeeb,9,26-0404/114,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",'Anke',"Freek van den Berg (1918-2000), 'Anke'","<h3>Painter / Artist / School</h3>Freek van den Berg (1918-2000)<h3>Technique / Size</h3>oil on canvas, 40x50 cm (55x65 cm incl. frame)<h3>Signature / Dating</h3>signed 'Freek vd Berg' (lower right); signed again, dated and annotated 'Geschilderd door mij/1962-1965/Anke Freek vd Berg' (on a label attached to the stretcher)",published,EUR,700.0,1000.0,600.0,600.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ad654c99-0ff4-4077-be3a-c98a7a07e372/b25b8e15-b28c-4273-948c-a9442ab28cde/0001_xRtLeI_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ad654c99-0ff4-4077-be3a-c98a7a07e372/d52374c3-121a-43e8-b559-6870dea15aba/0002_VorxfY_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ad654c99-0ff4-4077-be3a-c98a7a07e372/221ba228-a601-4077-abf3-3c5f6025a198/0003_gtRYxu_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ad654c99-0ff4-4077-be3a-c98a7a07e372/f322e1a9-fe3d-4dd6-acab-e372394bf970/0004_MJavrL_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ad654c99-0ff4-4077-be3a-c98a7a07e372/44e967c1-d9ec-4d2d-a223-614dfff72b54/0005_SyxVaj_sm.jpeg,5,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Freek van den Berg (1918-2000)"", ""period"": null, ""signature_dating"": ""signed 'Freek vd Berg' (lower right); signed again, dated and annotated 'Geschilderd door mij/1962-1965/Anke Freek vd Berg' (on a label attached to the stretcher)"", ""technique_size"": ""oil on canvas, 40x50 cm (55x65 cm incl. frame)"", ""title"": ""'Anke'"", ""total"": null, ""weight_size_quality"": null}"
642c9a9d-5305-49db-8ba7-f8f42ba0ccf4,10,26-0404/70,fbef6459-c238-43e4-b7ac-6357713358f6,713,Classic to Modern Art,"Schilderijen, aquarellen en tekeningen I",Gazing in the mirror,"Freek van den Berg (1918-2000), Gazing in the mirror","<h3>Painter / Artist / School</h3>Freek van den Berg (1918-2000)<h3>Technique / Size</h3>oil on canvas, 70x50 cm (76x56 cm incl. frame)<h3>Signature / Dating</h3>signed 'Freek v Berg' (lower right)",published,EUR,500.0,700.0,400.0,400.0,,1,1,400.0,400.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 15 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9c81435b-8890-420a-af3c-5a4d52f0c6d3/4a0a7830-25f5-40f9-9102-552f5e081f40/0001_PCenZU_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9c81435b-8890-420a-af3c-5a4d52f0c6d3/4ab9ccef-73f0-400a-bfb3-4783aca35d13/0002_IkomRx_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9c81435b-8890-420a-af3c-5a4d52f0c6d3/10ebb2be-a91d-4eb9-ab9f-515745bab205/0003_uTeTRx_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9c81435b-8890-420a-af3c-5a4d52f0c6d3/980fe4e4-1ea0-47a2-b71c-d97c3a46c1b1/0004_LHNbAE_sm.jpeg,4,"{""artist_retail_right"": true, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Freek van den Berg (1918-2000)"", ""period"": null, ""signature_dating"": ""signed 'Freek v Berg' (lower right)"", ""technique_size"": ""oil on canvas, 70x50 cm (76x56 cm incl. frame)"", ""title"": ""Gazing in the mirror"", ""total"": null, ""weight_size_quality"": null}"
