LotUUID,LotNo,StockNo,AuctionUUID,AuctionNo,AuctionTitle,Category,Title,ShortDescription,Description,Status,Currency,LowEstimate,HighEstimate,StartPrice,Reserve,BuyNowPrice,Quantity,NumOfBids,LastBidAmount,WinningBidAmount,IsStarted,StartDate,EndDate,ImageURLs,NrOfImages,DynamicFields
6124817d-1b43-4f7c-9abb-a9617b8cb4a1,2001,26-0450/4,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een 14k gouden en platina maansteen en diamanten ring,Een 14k gouden en platina maansteen en diamanten ring,"<h3>Description</h3><p>Centraal bezet met een ovaal cabochon geslepen maansteen omringd door roosgeslepen diamanten, ringmaat 17,75/56.&nbsp;</p><h3>Weight / Size / Quality</h3>Bruto 3 gram.<h3>Keurkamer</h3>Yes",published,EUR,400.0,600.0,400.0,400.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/1299e3d8-aa5d-4f26-b452-81f4ce84f506/859b3f6f-a426-4f14-bb17-5ba4b684ca2b/0001_qfLJQX_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/1299e3d8-aa5d-4f26-b452-81f4ce84f506/0a1d2f0d-134c-4d58-a6e7-36c06eda33dc/0002_LGOPoT_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/1299e3d8-aa5d-4f26-b452-81f4ce84f506/92d74564-5bce-4b1b-8163-6a87ca838f78/0003_pkkrkv_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Centraal bezet met een ovaal cabochon geslepen maansteen omringd door roosgeslepen diamanten, ringmaat 17,75/56.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een 14k gouden en platina maansteen en diamanten ring"", ""total"": null, ""weight_size_quality"": ""Bruto 3 gram. ""}"
b82cdc4c-91ea-438a-aeab-46b134ae4d3d,2002,26-0450/10,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een 18k gouden diamant ring,Een 18k gouden diamant ring,"<h3>Description</h3><p>Centraal bezet met een roosdiamant in gesloten zetting, de scheen bewerkt met gravures, ringmaat 16,75/52.&nbsp;</p><h3>Weight / Size / Quality</h3>Bruto 3 gram.<h3>Keurkamer</h3>Yes",published,EUR,200.0,400.0,200.0,200.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d992f278-0f45-440d-92b0-c0d885110597/a7c83ba1-726f-4ddd-90b0-259d438a634f/0001_TZKAnS_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d992f278-0f45-440d-92b0-c0d885110597/91e405a2-2a62-4ce5-83e7-04996fcbccb3/0002_xSlGIr_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d992f278-0f45-440d-92b0-c0d885110597/d5b713d7-93b7-4e63-a7be-f3743b31f0bb/0003_mmYzvr_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Centraal bezet met een roosdiamant in gesloten zetting, de scheen bewerkt met gravures, ringmaat 16,75/52.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een 18k gouden diamant ring"", ""total"": null, ""weight_size_quality"": ""Bruto 3 gram. ""}"
728d40b4-991f-4e50-9a2b-517b0d9a60a7,2003,26-0450/11,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een 14k gouden synthetische robijn ring en een paar knoopjes,Een 14k gouden synthetische robijn ring en een paar knoopjes,"<h3>Description</h3><p>De ring bezet met een ronde synthetische robijn omringd door roosdiamanten, ringmaat 17/53, de 14k gouden knoopjes bezet met twee emeraude-geslepen synthetische robijnen in klauwzettingen -één robijn los in de zetting- 7x6 mm.</p><h3>Weight / Size / Quality</h3>Bruto 3 gram.<h3>Keurkamer</h3>Yes",published,EUR,200.0,400.0,200.0,200.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/eb7313b8-a0e9-4ebf-8e31-a18c829b2e92/5a7bd018-111d-49ab-bcb7-145658617dcb/0001_CJrdEd_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/eb7313b8-a0e9-4ebf-8e31-a18c829b2e92/afe1b207-46da-485b-8c82-2662dd447fd5/0002_SxHLWj_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/eb7313b8-a0e9-4ebf-8e31-a18c829b2e92/145ffa3e-ddfb-483e-ae03-dcd99ba30b92/0003_IuTTcR_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/eb7313b8-a0e9-4ebf-8e31-a18c829b2e92/c84af73e-d4ab-48dc-8c26-9f45455d19f5/0004_eZpOYJ_sm.jpeg,4,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>De ring bezet met een ronde synthetische robijn omringd door roosdiamanten, ringmaat 17/53, de 14k gouden knoopjes bezet met twee emeraude-geslepen synthetische robijnen in klauwzettingen -één robijn los in de zetting- 7x6 mm.</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een 14k gouden synthetische robijn ring en een paar knoopjes"", ""total"": null, ""weight_size_quality"": ""Bruto 3 gram. ""}"
bd8e60c1-81b9-4503-8ec6-a7f4b2d9b656,2004,26-0450/14,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een 14k witgouden aquamarijn hanger aan 18k witgouden collier,Een 14k witgouden aquamarijn hanger aan 18k witgouden collier,"<h3>Description</h3><p>De hanger bezet met een emeraude-geslepen aquamarijn van circa 10 ct. aan een fijn jasseronschakelcollier, hanger 24x11 mm. inclusief hangoog, collier L. 50 cm.&nbsp;</p><h3>Weight / Size / Quality</h3>Bruto 5 gram.<h3>Keurkamer</h3>Yes",published,EUR,200.0,400.0,200.0,200.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/873cd05d-1f3b-4241-bca7-837b8dbcece4/c2533345-b7db-4243-ba93-99823afbd777/00001_BNJBYl_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/873cd05d-1f3b-4241-bca7-837b8dbcece4/b14878b7-8f43-4eee-ad60-71619a54e019/0001_Zppwkr_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>De hanger bezet met een emeraude-geslepen aquamarijn van circa 10 ct. aan een fijn jasseronschakelcollier, hanger 24x11 mm. inclusief hangoog, collier L. 50 cm.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een 14k witgouden aquamarijn hanger aan 18k witgouden collier"", ""total"": null, ""weight_size_quality"": ""Bruto 5 gram. ""}"
a5441a26-67dd-4a20-b738-40c6c329a9bb,2005,26-0590/4,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,"Een stalen heren polshorloge, Omega","Een stalen heren polshorloge, Omega","<h3>Description</h3><p>Automatisch uurwerk, de ronde zilverkleurige wijzerplaat met batons, D. 34 mm, aan latere bruin lederen band, model ‘Seamaster de Ville’.</p>",published,EUR,400.0,600.0,400.0,400.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/4541eb84-120a-48ef-89bc-22d65f2c15fd/e3311abb-c8ec-4062-a743-e5cc50e4aec2/0001_kGFvim_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/4541eb84-120a-48ef-89bc-22d65f2c15fd/f3b948e1-6ba0-4a6d-ad67-cf5873823f6a/0002_LjFghA_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Automatisch uurwerk, de ronde zilverkleurige wijzerplaat met batons, D. 34 mm, aan latere bruin lederen band, model ‘Seamaster de Ville’.</p>"", ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een stalen heren polshorloge, Omega"", ""total"": null, ""weight_size_quality"": null}"
de32c209-bf95-41db-a63d-1beaed2c922c,2006,26-0264/3,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een 14k gouden camee hanger,Een 14k gouden camee hanger,"<h3>Description</h3><p>Bestaande uit een schelpcamee met voorstelling van de drie gratieën, in een gouden montuur, 54x38mm (incl hangeroog).</p><h3>Weight / Size / Quality</h3>Bruto 11 gram.<h3>Keurkamer</h3>Yes",published,EUR,200.0,400.0,200.0,200.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/f1ab9979-aff3-4fce-9c3d-e0c656d4d772/f372f298-be23-4f3e-b504-e034d0136a50/0001_Isjymg_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/f1ab9979-aff3-4fce-9c3d-e0c656d4d772/db459df5-69be-4cc9-baa6-611031002b97/0002_pYpFyb_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Bestaande uit een schelpcamee met voorstelling van de drie gratieën, in een gouden montuur, 54x38mm (incl hangeroog).</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een 14k gouden camee hanger"", ""total"": null, ""weight_size_quality"": ""Bruto 11 gram.""}"
55cc393f-ffc9-4f1e-8171-4b5eb39d9691,2007,26-0600/2,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een 14k gouden en zilveren diamanten ring,Een 14k gouden en zilveren diamanten ring,"<h3>Period</h3>Tweede helft 20e eeuw<h3>Description</h3><p>Bezet met een entourage van roosgeslepen diamanten, ringmaat 16,5/52.&nbsp;</p><h3>Weight / Size / Quality</h3>Bruto 5 gram.",published,EUR,500.0,700.0,500.0,500.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d89155dd-ff49-4249-8697-8eb0a71f5233/d831303d-60bc-4c28-ac04-32ba9601c3ec/0001_uhZRQM_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d89155dd-ff49-4249-8697-8eb0a71f5233/d25e0bce-94a7-4150-a806-8ef64206ea15/0002_nyxYVI_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d89155dd-ff49-4249-8697-8eb0a71f5233/b3cc0909-27f8-4e87-9887-019cbf7f456f/0003_AlirOA_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Bezet met een entourage van roosgeslepen diamanten, ringmaat 16,5/52.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": ""Tweede helft 20e eeuw"", ""title"": ""Een 14k gouden en zilveren diamanten ring"", ""total"": null, ""weight_size_quality"": ""Bruto 5 gram.""}"
7f0f3ec3-5104-4f22-a1b4-c94e409de8b7,2008,26-0681/1,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een collectie sieraden,Een collectie sieraden,"<h3>Description</h3><p>Bestaande uit:&nbsp;<br>een 18k gouden collier, bezet met cabochongeslepen turkoois;&nbsp;<br>een geëmailleerde bladbroche, gemerkt '333', bwgg;&nbsp;<br>een vergulde 925/1000 zilveren schakelarmband;<br>daarbij een onedele stijve armband en een onedel broche bezet met een roze glassteentje.&nbsp;</p><h3>Weight / Size / Quality</h3>Collier bruto 11 gram.<h3>Keurkamer</h3>Yes",published,EUR,600.0,1000.0,600.0,600.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d664d5b3-dd60-4b0d-8e4f-6ffa0d32efff/227d0ad0-3965-4cb9-bc81-a6e86e5806de/0001_rWbHLr_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d664d5b3-dd60-4b0d-8e4f-6ffa0d32efff/d9d4b86e-3c65-47d4-9a78-3749600ed44d/0002_brbmWl_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d664d5b3-dd60-4b0d-8e4f-6ffa0d32efff/6bf44479-e07b-4d1c-95eb-6a758e30eca5/0003_PKKaHm_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d664d5b3-dd60-4b0d-8e4f-6ffa0d32efff/7f45826c-1eb2-40e5-98bb-8b0646adb7e0/0004_yyenOd_sm.jpeg,4,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Bestaande uit:&nbsp;<br>een 18k gouden collier, bezet met cabochongeslepen turkoois;&nbsp;<br>een geëmailleerde bladbroche, gemerkt '333', bwgg;&nbsp;<br>een vergulde 925/1000 zilveren schakelarmband;<br>daarbij een onedele stijve armband en een onedel broche bezet met een roze glassteentje.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een collectie sieraden"", ""total"": null, ""weight_size_quality"": ""Collier bruto 11 gram.""}"
49262962-bb30-461f-b685-76355b6ef32f,2009,26-0530/9,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een antiek Engels handspiegeltje,Een antiek Engels handspiegeltje,"<h3>Description</h3><p>De achterzijde gedecoreerd met een iris, gesigneerd S.&nbsp;Blanckensee & Son, Birmingham, 1905, bwgg (333/1000), 70x32 mm excl. hangoog.&nbsp;</p><h3>Weight / Size / Quality</h3>Bruto 10 gram.",published,EUR,100.0,200.0,100.0,100.0,,1,1,100.0,100.0,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/746a4b60-c657-4ea2-8950-123cffbf021b/202583e5-d5d6-493f-9852-867ed5ea47bf/0001_NNYIWf_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/746a4b60-c657-4ea2-8950-123cffbf021b/4a1c354c-e836-4f74-a4df-35ced17e948f/0002_IdYFJl_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>De achterzijde gedecoreerd met een iris, gesigneerd S.&nbsp;Blanckensee & Son, Birmingham, 1905, bwgg (333/1000), 70x32 mm excl. hangoog.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een antiek Engels handspiegeltje"", ""total"": null, ""weight_size_quality"": ""Bruto 10 gram. ""}"
52292550-1f9c-4bee-a43c-5e09e66a345a,2010,26-0530/8,5595f3f8-0d21-4337-985c-b62f62070ce9,719,"Juwelen, Horloges & Luxury",Juwelen & Horloges,Een blauw geemailleerd medaillon ,Een blauw geemailleerd medaillon ,"<h3>Description</h3><p>Rechthoekig model met afgeronde hoeken, de voorzijde gedecoreerd met een duif op een blauw emaille achtergrond, het emaille aan de achterzijde beschadigd, aan de binnenkant twee portretraampjes waarachter een zilveren schildje met monogram, bwgg, 27x22 mm.&nbsp;</p><h3>Weight / Size / Quality</h3>Bruto 13 gram.<h3>Keurkamer</h3>Yes",published,EUR,200.0,300.0,180.0,180.0,,1,0,,,True,"Mon, 31 Aug 2026 15:00:00 GMT","Wed, 16 Sep 2026 17:06:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/a84f15ce-6fa5-4640-b7ac-704f9ede1d99/6bc5a680-5636-4e29-9d75-cf182be2c3e6/0001_alGlpE_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/a84f15ce-6fa5-4640-b7ac-704f9ede1d99/80da9342-7182-416d-8736-082bb58c5a31/0002_sVxiAi_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/a84f15ce-6fa5-4640-b7ac-704f9ede1d99/b35431c4-0d66-4c59-9fb3-fbb85d28ca05/0003_WypLzf_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""description"": ""<p>Rechthoekig model met afgeronde hoeken, de voorzijde gedecoreerd met een duif op een blauw emaille achtergrond, het emaille aan de achterzijde beschadigd, aan de binnenkant twee portretraampjes waarachter een zilveren schildje met monogram, bwgg, 27x22 mm.&nbsp;</p>"", ""internal_reference"": null, ""keurkamer"": true, ""literature"": null, ""origin_exhibition_lite"": null, ""period"": null, ""title"": ""Een blauw geemailleerd medaillon "", ""total"": null, ""weight_size_quality"": ""Bruto 13 gram. ""}"
