LotUUID,LotNo,StockNo,AuctionUUID,AuctionNo,AuctionTitle,Category,Title,ShortDescription,Description,Status,Currency,LowEstimate,HighEstimate,StartPrice,Reserve,BuyNowPrice,Quantity,NumOfBids,LastBidAmount,WinningBidAmount,IsStarted,StartDate,EndDate,ImageURLs,NrOfImages,DynamicFields
c2db0e79-b433-4191-bf1a-1aeeb40a7f32,1,26-0528/58,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,Normandische kustscène,"Frantz (19de eeuw), Normandische kustscène","<h3>Painter / Artist / School</h3>Frantz (19de eeuw)<h3>Technique / Size</h3>aquarel op papier, 14x23 cm (26x34,5 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd 'Frantz' (linksonder)",published,EUR,,,35.0,35.0,,1,1,35.0,35.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/559fd485-c228-41d8-b227-711d92a832b0/dcf54597-180f-4403-bbb2-fb08c923d229/0001_xHduhE_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/559fd485-c228-41d8-b227-711d92a832b0/a551c6a2-deb2-4e75-b451-e4d615f1a665/0002_GQdiRz_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Frantz (19de eeuw)"", ""period"": null, ""signature_dating"": ""gesigneerd 'Frantz' (linksonder)"", ""technique_size"": ""aquarel op papier, 14x23 cm (26x34,5 cm incl. lijst)"", ""title"": ""Normandische kustscène"", ""total"": null, ""weight_size_quality"": null}"
e7fc3d30-04ba-478a-ba94-e8830c8cb251,2,26-0544/7,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,I. Haventje van Ameland; II. Haven,"Jan van den Hurk (1917-2002) (2x), I. Haventje van Ameland; II. Haven","<h3>Painter / Artist / School</h3>Jan van den Hurk (1917-2002) (2x)<h3>Literature</h3><p>Tentoonstelling:<br>-II. Eindhoven, Museum Kempenland, ‘Jan van den Hurk 1917-2000, een bourgondiër met schildertalent’, 16 maart-21 mei 2002 (etiket op stretcher).&nbsp;</p><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p><h3>Technique / Size</h3>I. olieverf op doek, 25x31 cm (38x43 cm incl. lijst); II. olieverf op doek, 65x60 cm (80x75 cm incl. lijst)<h3>Signature / Dating</h3>I. gesigneerd 'Jan van den Hurk' (linksonder); geannoteerd (achterzijde); II. gesigneerd 'Jan van den Hurk' (rechtsonder)",published,EUR,,,35.0,35.0,,1,2,40.0,40.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/381e5398-9ebd-4e66-b9dd-efaf92921e1b/72196840-e9ff-4e91-8f00-6fe7ad4d5299/0001_QIsmXf_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/381e5398-9ebd-4e66-b9dd-efaf92921e1b/8eb103c6-3799-483e-8611-1a9c5dbb0eb4/0001a_bgsoiJ_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/381e5398-9ebd-4e66-b9dd-efaf92921e1b/af5579c9-c588-43de-9f45-e440c74754a2/0002_SlolZL_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/381e5398-9ebd-4e66-b9dd-efaf92921e1b/d4f0a99b-ae4e-4a61-9912-5f56156d0b11/0003_rPzylM_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/381e5398-9ebd-4e66-b9dd-efaf92921e1b/5fe66d1e-b8b2-46ad-9144-9316c18ffee5/0004_suqQzS_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/381e5398-9ebd-4e66-b9dd-efaf92921e1b/82c72cf4-9a0f-4265-99cb-58080dc8bb65/0005_nmHImh_sm.jpeg,6,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Tentoonstelling:<br>-II. Eindhoven, Museum Kempenland, ‘Jan van den Hurk 1917-2000, een bourgondiër met schildertalent’, 16 maart-21 mei 2002 (etiket op stretcher).&nbsp;</p><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Jan van den Hurk (1917-2002) (2x)"", ""period"": null, ""signature_dating"": ""I. gesigneerd 'Jan van den Hurk' (linksonder); geannoteerd (achterzijde); II. gesigneerd 'Jan van den Hurk' (rechtsonder)"", ""technique_size"": ""I. olieverf op doek, 25x31 cm (38x43 cm incl. lijst); II. olieverf op doek, 65x60 cm (80x75 cm incl. lijst)"", ""title"": ""I. Haventje van Ameland; II. Haven"", ""total"": null, ""weight_size_quality"": null}"
01667a2b-28b3-4a54-aaf2-7e775af486aa,3,26-0544/8,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,I. Keukenstilleven; II. Stilleven met kleurrijke bloemen,"Jan van den Hurk (1917-2002) (2x), I. Keukenstilleven; II. Stilleven met kleurrijke bloemen","<h3>Painter / Artist / School</h3>Jan van den Hurk (1917-2002) (2x)<h3>Literature</h3><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.</p><h3>Technique / Size</h3>beide olieverf op doek, 70x80 cm (zonder lijst)<h3>Signature / Dating</h3>beide gesigneerd 'Jan van den Hurk' (rechtsonder)",published,EUR,,,35.0,35.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9e3a363c-2218-4a98-bae3-06f2fb955f12/f7e0c169-922c-4fcd-a10c-222dccb984ac/0001_UlXsPY_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9e3a363c-2218-4a98-bae3-06f2fb955f12/d92ede7c-6967-42c8-8de7-4692207278ce/0002_yLkyDb_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9e3a363c-2218-4a98-bae3-06f2fb955f12/5920b540-bc3d-4184-b422-b08b669e7ddd/0003_dsKfUw_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Herkomst:<br>-Collectie van de familie van de kunstenaar.</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Jan van den Hurk (1917-2002) (2x)"", ""period"": null, ""signature_dating"": ""beide gesigneerd 'Jan van den Hurk' (rechtsonder)"", ""technique_size"": ""beide olieverf op doek, 70x80 cm (zonder lijst)"", ""title"": ""I. Keukenstilleven; II. Stilleven met kleurrijke bloemen"", ""total"": null, ""weight_size_quality"": null}"
a47264ec-ebbb-4f47-b3b6-c1bc2422c3a5,4,26-0544/9,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,I. Stilleven met bloemen in rieten mandje; II. Liggend naakt ,"Jan van den Hurk (1917-2002) (2x), I. Stilleven met bloemen in rieten mandje; II. Liggend naakt ","<h3>Painter / Artist / School</h3>Jan van den Hurk (1917-2002) (2x)<h3>Literature</h3><p>Tentoonstelling:<br>-I. Eindhoven, Museum Kempenland, ‘Jan van den Hurk 1917-2000, een bourgondiër met schildertalent', 16 maart-12 mei 2002 (etiket op stretcher).&nbsp;</p><p>Herkomst:<br>-Collectie van de familie van de eigenaar.&nbsp;</p><h3>Technique / Size</h3>I. olieverf op doek, 35x40 cm (50x56 cm incl. lijst); II. pastel op papier, 47x62 cm (67x80 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd 'Jan van den Hurk' (rechtsonder); geannoteerd 'Souevnir/Lea [...]' (linksonder)",published,EUR,,,35.0,35.0,,1,2,40.0,40.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ecdf8ac8-977d-48bb-a4b3-ae5ddb377f58/90bcd925-4512-41a7-b2de-4bb24d38f803/0001_yDwyMu_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ecdf8ac8-977d-48bb-a4b3-ae5ddb377f58/e190d015-affe-4360-a55a-1b30b59e3057/0002_ycicbF_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ecdf8ac8-977d-48bb-a4b3-ae5ddb377f58/dd6df50c-5349-4261-b61a-75337c58a870/0003_DiVcHR_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ecdf8ac8-977d-48bb-a4b3-ae5ddb377f58/a45a3c31-b7a7-4227-b785-d37deb823d98/0004_vywOcw_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/ecdf8ac8-977d-48bb-a4b3-ae5ddb377f58/4ead3cc8-67c7-42a1-a388-7304fd46729f/0005_bbWeUr_sm.jpeg,5,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Tentoonstelling:<br>-I. Eindhoven, Museum Kempenland, ‘Jan van den Hurk 1917-2000, een bourgondiër met schildertalent', 16 maart-12 mei 2002 (etiket op stretcher).&nbsp;</p><p>Herkomst:<br>-Collectie van de familie van de eigenaar.&nbsp;</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Jan van den Hurk (1917-2002) (2x)"", ""period"": null, ""signature_dating"": ""gesigneerd 'Jan van den Hurk' (rechtsonder); geannoteerd 'Souevnir/Lea [...]' (linksonder)"", ""technique_size"": ""I. olieverf op doek, 35x40 cm (50x56 cm incl. lijst); II. pastel op papier, 47x62 cm (67x80 cm incl. lijst)"", ""title"": ""I. Stilleven met bloemen in rieten mandje; II. Liggend naakt "", ""total"": null, ""weight_size_quality"": null}"
59b95c8b-31bc-439e-8d6b-37aa8a03c8de,5,26-0528/60,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,Diverse voorstellingen,"Johannes Hendrikus Jurres (1875-1946); Hans van Draanen (1931-1987) (2x); John Goudie Lynch (1946); Steelink naar Hilverdink; Onbekende maker (20ste eeuw) (6x), Diverse voorstellingen","<h3>Painter / Artist / School</h3>Johannes Hendrikus Jurres (1875-1946); Hans van Draanen (1931-1987) (2x); John Goudie Lynch (1946); Steelink naar Hilverdink; Onbekende maker (20ste eeuw) (6x)<h3>Technique / Size</h3>1x krijt op papier, 1x pen en aquarel op papier, 3x ets, 1x handgekleurde gravure, alle circa 30x30 cm (afm. incl. lijst)<h3>Signature / Dating</h3>alle gesigneerd in potlood of in de druk",published,EUR,,,35.0,35.0,,1,2,40.0,40.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d78535c2-487b-4511-bb8d-d2c96afb8aa5/a7277f1b-84ae-486a-8c08-f8bc35ff2330/0001_rwlIxO_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d78535c2-487b-4511-bb8d-d2c96afb8aa5/1bb49620-e3a7-4d97-a28b-39d505e22545/0002_LbHuFX_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/d78535c2-487b-4511-bb8d-d2c96afb8aa5/afd1e87c-fa81-4b83-a3b2-220772188875/0003_nsZzAf_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Johannes Hendrikus Jurres (1875-1946); Hans van Draanen (1931-1987) (2x); John Goudie Lynch (1946); Steelink naar Hilverdink; Onbekende maker (20ste eeuw) (6x)"", ""period"": null, ""signature_dating"": ""alle gesigneerd in potlood of in de druk"", ""technique_size"": ""1x krijt op papier, 1x pen en aquarel op papier, 3x ets, 1x handgekleurde gravure, alle circa 30x30 cm (afm. incl. lijst)"", ""title"": ""Diverse voorstellingen"", ""total"": null, ""weight_size_quality"": null}"
57d7bd55-330e-44f6-a8a0-d28033b4e03d,6,26-0544/10,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,Bloemstillevens ,"Jan van den Hurk (1917-2002) (2x), Bloemstillevens ","<h3>Painter / Artist / School</h3>Jan van den Hurk (1917-2002) (2x)<h3>Literature</h3><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p><h3>Technique / Size</h3>beide olieverf op doek, 55,5x45 cm (73x63 cm incl. lijst); 50x40,5 cm (64x53 cm incl. lijst)<h3>Signature / Dating</h3>beide gesigneerd 'Jan van de Hurk' (rechtsonder)",published,EUR,,,35.0,35.0,,1,3,45.0,45.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/2fc60fda-c62b-4a99-bcad-1e8e64459466/93b0c0b2-300e-4754-8248-5257d69e2315/0001_xVwUnh_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/2fc60fda-c62b-4a99-bcad-1e8e64459466/9c624aad-b914-45ea-86fa-4dbde773f726/0002_jGVeze_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/2fc60fda-c62b-4a99-bcad-1e8e64459466/693de5cb-0408-49d2-80b3-38dcfac8c1c2/0003_ykzigR_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/2fc60fda-c62b-4a99-bcad-1e8e64459466/4e6e4cc1-c2ca-4710-9b60-3792a52970e7/0004_cqrtTC_sm.jpeg,4,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Jan van den Hurk (1917-2002) (2x)"", ""period"": null, ""signature_dating"": ""beide gesigneerd 'Jan van de Hurk' (rechtsonder)"", ""technique_size"": ""beide olieverf op doek, 55,5x45 cm (73x63 cm incl. lijst); 50x40,5 cm (64x53 cm incl. lijst)"", ""title"": ""Bloemstillevens "", ""total"": null, ""weight_size_quality"": null}"
852b16fe-bc08-4243-9337-ba1201948a3b,7,26-0528/66,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,Uitvarende bomschuiten,"Hendrik Willem Mesdag (1831-1915), Uitvarende bomschuiten","<h3>Painter / Artist / School</h3>Hendrik Willem Mesdag (1831-1915)<h3>Technique / Size</h3>ets, 16x21 cm (42x49 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd in de druk",published,EUR,,,35.0,35.0,,1,10,200.0,200.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/dee2ca2b-3b5a-4fc3-b237-09ca5f88fbaa/259ed087-860e-4e99-b21a-c2bb85e1972a/0001_oDRVFV_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/dee2ca2b-3b5a-4fc3-b237-09ca5f88fbaa/30d8e8c3-6fbd-454c-9d99-32aa985938ee/0002_cOxfDx_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Hendrik Willem Mesdag (1831-1915)"", ""period"": null, ""signature_dating"": ""gesigneerd in de druk"", ""technique_size"": ""ets, 16x21 cm (42x49 cm incl. lijst)"", ""title"": ""Uitvarende bomschuiten"", ""total"": null, ""weight_size_quality"": null}"
67d50c16-c9f1-4644-8ddf-5e8478047665,8,26-0544/11,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,Boerderijen ,"Jan van den Hurk (1917-2002) (2x), Boerderijen ","<h3>Painter / Artist / School</h3>Jan van den Hurk (1917-2002) (2x)<h3>Literature</h3><p>Tentoonstelling:<br>-II. Eindhoven, Museum Kempenland, ‘Jan van den Hurk 1917-2000, een bourgondiër met schildertalent',16 maart-12 mei 2002 (etiket op stretcher).&nbsp;</p><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p><h3>Technique / Size</h3>beide olieverf op doek, zonder lijst, I. 60x70 cm; II. 70x80 cm<h3>Signature / Dating</h3>beide gesigneerd 'Jan van den Hurk' (rechtsonder)",published,EUR,,,35.0,35.0,,1,1,35.0,35.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/5908b7f9-3cdc-405a-a57d-3e81fccd8f4a/06c9d30b-bb53-4268-8cf9-bf552e78fb09/0001_ISULDi_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/5908b7f9-3cdc-405a-a57d-3e81fccd8f4a/5b2299f2-d57f-418d-8be1-cf8096d0520f/0002_qcMQmR_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/5908b7f9-3cdc-405a-a57d-3e81fccd8f4a/489af4eb-73ef-4e24-9e54-2ade6631dd95/0003_ndMZaP_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Tentoonstelling:<br>-II. Eindhoven, Museum Kempenland, ‘Jan van den Hurk 1917-2000, een bourgondiër met schildertalent',16 maart-12 mei 2002 (etiket op stretcher).&nbsp;</p><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Jan van den Hurk (1917-2002) (2x)"", ""period"": null, ""signature_dating"": ""beide gesigneerd 'Jan van den Hurk' (rechtsonder)"", ""technique_size"": ""beide olieverf op doek, zonder lijst, I. 60x70 cm; II. 70x80 cm "", ""title"": ""Boerderijen "", ""total"": null, ""weight_size_quality"": null}"
66321044-3784-4274-8762-a3cde89af115,9,26-0544/12,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,I. Bloemstilleven; II. Naakte dame aan de toilettafel ,"Jan van den Hurk (1917-2002) (2x), I. Bloemstilleven; II. Naakte dame aan de toilettafel ","<h3>Painter / Artist / School</h3>Jan van den Hurk (1917-2002) (2x)<h3>Literature</h3><p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p><h3>Technique / Size</h3>beide olieverf op doek, zonder lijst, 80x60 cm<h3>Signature / Dating</h3>beide gesigneerd 'Jan van den Hurk' (linksonder)",published,EUR,,,35.0,35.0,,1,6,90.0,90.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/0f317333-fb25-41de-8386-116470ce5872/b3fa1498-e72e-484a-8382-28af5aa69584/0001_HUVCGF_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/0f317333-fb25-41de-8386-116470ce5872/ab9a634e-8e4c-4993-8e2d-d348eacad40d/0002_CVSmZJ_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/0f317333-fb25-41de-8386-116470ce5872/8670f45e-9efd-4828-87d6-ffa3bb90bac4/0003_RFyUey_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Herkomst:<br>-Collectie van de familie van de kunstenaar.&nbsp;</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Jan van den Hurk (1917-2002) (2x)"", ""period"": null, ""signature_dating"": ""beide gesigneerd 'Jan van den Hurk' (linksonder)"", ""technique_size"": ""beide olieverf op doek, zonder lijst, 80x60 cm "", ""title"": ""I. Bloemstilleven; II. Naakte dame aan de toilettafel "", ""total"": null, ""weight_size_quality"": null}"
b8191d2c-08f3-475b-af77-371d42436d5c,10,26-0528/64,1a0a4e15-856c-4861-9999-724e52ab72db,722,Vendue Next Door Part 1 | september,Schilderijen,Driekoningen; Gek mannetje,"Dirkje Kuik (1929-2008) (2x), Driekoningen; Gek mannetje","<h3>Painter / Artist / School</h3>Dirkje Kuik (1929-2008) (2x)<h3>Technique / Size</h3>I. inkt en gewassen inkt op papier,  9,5x9,5 cm (29x21 cm incl. lijst); II. pen op papier, 20,5x14,5 cm (incl. lijst 31x25 cm)<h3>Signature / Dating</h3>waarvan één gesigneerd in potlood",published,EUR,,,35.0,35.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Mon, 07 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9e2d674d-cf4a-4758-8e34-7063ec09676f/66259bae-5934-4b85-a9bf-c7ea07099070/0001_BxvZEP_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9e2d674d-cf4a-4758-8e34-7063ec09676f/549cc91c-85d2-41fe-a550-d638ce92a9a2/0002_NjEnfu_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9e2d674d-cf4a-4758-8e34-7063ec09676f/3a49e4d8-62f8-41f0-85ae-46cb8249ed60/0003_kqZPZJ_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Dirkje Kuik (1929-2008) (2x)"", ""period"": null, ""signature_dating"": ""waarvan één gesigneerd in potlood"", ""technique_size"": ""I. inkt en gewassen inkt op papier,  9,5x9,5 cm (29x21 cm incl. lijst); II. pen op papier, 20,5x14,5 cm (incl. lijst 31x25 cm)"", ""title"": ""Driekoningen; Gek mannetje"", ""total"": null, ""weight_size_quality"": null}"
