LotUUID,LotNo,StockNo,AuctionUUID,AuctionNo,AuctionTitle,Category,Title,ShortDescription,Description,Status,Currency,LowEstimate,HighEstimate,StartPrice,Reserve,BuyNowPrice,Quantity,NumOfBids,LastBidAmount,WinningBidAmount,IsStarted,StartDate,EndDate,ImageURLs,NrOfImages,DynamicFields
f9a2b1e5-9dc4-4ca0-b502-498eac888da8,10001,26-0528/56,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,De Boompjes in Rotterdam,"Carl Eduard Ahrendts (1822-1898), De Boompjes in Rotterdam","<h3>Painter / Artist / School</h3>Carl Eduard Ahrendts (1822-1898)<h3>Technique / Size</h3>olieverf op paneel, 16x21 cm (20x26 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd 'CE Ahrendts' (linksonder)",published,EUR,400.0,600.0,200.0,200.0,,1,9,350.0,350.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/e4b2e329-d8fb-4465-8610-f0fdf6ad3a4d/913a2261-cc15-4e15-831c-bae8922e1de4/0001_EPkOcp_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/e4b2e329-d8fb-4465-8610-f0fdf6ad3a4d/28a8dc48-fc0f-4b24-8957-33d0da29c9e8/0002_NEwDcf_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Carl Eduard Ahrendts (1822-1898)"", ""period"": null, ""signature_dating"": ""gesigneerd 'CE Ahrendts' (linksonder)"", ""technique_size"": ""olieverf op paneel, 16x21 cm (20x26 cm incl. lijst)"", ""title"": ""De Boompjes in Rotterdam"", ""total"": null, ""weight_size_quality"": null}"
ae6a2dfc-d4e9-4968-86d8-6ef3feffd0dc,10002,26-0528/57,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Chinese kom met tegeltje en vlinders,"Lux Buurman (1948), Chinese kom met tegeltje en vlinders","<h3>Painter / Artist / School</h3>Lux Buurman (1948)<h3>Technique / Size</h3>tempera op paneel, 25x14,5 cm (28,5x18,5 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd en gedateerd 'Lux/1985' (rechtsonder)",published,EUR,300.0,400.0,100.0,100.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/7d51dcea-162c-496b-b05d-3139e7c05575/6a3c53dd-3b43-4c93-95f7-f0818991671e/0001_CueOgT_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/7d51dcea-162c-496b-b05d-3139e7c05575/d45097e8-abd0-43bb-a428-502e88504079/0002_PwANBr_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Lux Buurman (1948)"", ""period"": null, ""signature_dating"": ""gesigneerd en gedateerd 'Lux/1985' (rechtsonder)"", ""technique_size"": ""tempera op paneel, 25x14,5 cm (28,5x18,5 cm incl. lijst)"", ""title"": ""Chinese kom met tegeltje en vlinders"", ""total"": null, ""weight_size_quality"": null}"
664a67c3-bac9-403f-ae25-60dfb0db8881,10003,26-0528/59,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,'Vrouw aan tafel'; Clowns,"Hermanus Berserik (1921-2002) (2x), 'Vrouw aan tafel'; Clowns","<h3>Painter / Artist / School</h3>Hermanus Berserik (1921-2002) (2x)<h3>Technique / Size</h3>I. pen op papier, 13,5x13,5 cm (25,5x25,5 cm incl. lijst); II. lithografie, 21x33 cm (33,5x45,5 cm incl. lijst)<h3>Signature / Dating</h3>I. gesigneerd en gedateerd 'Berserik 1971/23 mei' (bovenaan), getiteld (op een handgeschreven label op de achterzijde); II. gesigneerd en genummerd in potlood '18/40 Berserik eigendruk' (onderaan)",published,EUR,300.0,400.0,100.0,100.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/0f666fbc-88a7-4096-bbeb-ccd93dd1fedf/3d1ff942-3a71-4452-9eeb-82f03d6d0aad/0001_vQYiRD_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/0f666fbc-88a7-4096-bbeb-ccd93dd1fedf/6efcf302-68c2-432b-969e-848f4195263a/0002_ABlmSP_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/0f666fbc-88a7-4096-bbeb-ccd93dd1fedf/851968bf-c95f-4789-8acc-f27d5054fd3a/0003_xMqCCC_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Hermanus Berserik (1921-2002) (2x)"", ""period"": null, ""signature_dating"": ""I. gesigneerd en gedateerd 'Berserik 1971/23 mei' (bovenaan), getiteld (op een handgeschreven label op de achterzijde); II. gesigneerd en genummerd in potlood '18/40 Berserik eigendruk' (onderaan)"", ""technique_size"": ""I. pen op papier, 13,5x13,5 cm (25,5x25,5 cm incl. lijst); II. lithografie, 21x33 cm (33,5x45,5 cm incl. lijst)"", ""title"": ""'Vrouw aan tafel'; Clowns"", ""total"": null, ""weight_size_quality"": null}"
4a368f30-505b-4b53-9288-87ffe51ae729,10004,26-0528/62,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Terugkomst van de verloren zoon,"Charles Dufresne (1876-1938), Terugkomst van de verloren zoon","<h3>Painter / Artist / School</h3>Charles Dufresne (1876-1938)<h3>Technique / Size</h3>inkt en gouache op papier, 16x27,5 cm (28,5x40 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd 'dufresne' (rechtsonder)",published,EUR,500.0,700.0,300.0,300.0,,1,1,300.0,300.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/138cdbc2-9423-4311-955f-97591b759f7a/8cc3b588-09ee-4b69-b43f-e38792bdf060/0001_nXSNfI_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/138cdbc2-9423-4311-955f-97591b759f7a/269d7156-1711-4269-8dc6-e2f290680120/0002_ZugYfO_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Charles Dufresne (1876-1938)"", ""period"": null, ""signature_dating"": ""gesigneerd 'dufresne' (rechtsonder)"", ""technique_size"": ""inkt en gouache op papier, 16x27,5 cm (28,5x40 cm incl. lijst)"", ""title"": ""Terugkomst van de verloren zoon"", ""total"": null, ""weight_size_quality"": null}"
e00cc96b-ea4b-4c9c-8ada-1619c8f84c1a,10005,26-0528/63,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Mannen aan tafel,"Giuseppe Bernardino Bison (1762-1844), Mannen aan tafel","<h3>Painter / Artist / School</h3>Giuseppe Bernardino Bison (1762-1844)<h3>Technique / Size</h3>pen, gewassen inkt en aquarel op papier, 15x16,5 cm (28x26 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd 'Bison' (rechtsonder)",published,EUR,300.0,400.0,100.0,100.0,,1,1,100.0,100.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/646ef2bd-d2aa-491c-aae2-8e3b87b41f6d/7d0ab678-fd9c-47b9-a6c4-8b4ebdb3dfd2/0001_AuFhRx_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/646ef2bd-d2aa-491c-aae2-8e3b87b41f6d/8d5c896b-9b16-41ee-bb4f-e42e3f88bf34/0002_BwJSbo_sm.jpeg,2,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Giuseppe Bernardino Bison (1762-1844)"", ""period"": null, ""signature_dating"": ""gesigneerd 'Bison' (rechtsonder)"", ""technique_size"": ""pen, gewassen inkt en aquarel op papier, 15x16,5 cm (28x26 cm incl. lijst)"", ""title"": ""Mannen aan tafel"", ""total"": null, ""weight_size_quality"": null}"
6b61d758-e5ef-4557-a661-b0dd10634fbb,10006,26-0528/61,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Zonder titel,"Co Westerik (1924-2018) (2x), Zonder titel","<h3>Painter / Artist / School</h3>Co Westerik (1924-2018) (2x)<h3>Technique / Size</h3>beide ets, 8,5x10 cm (22x22 cm incl. lijst); 21x26,5 cm (34x39 cm incl. lijst)<h3>Signature / Dating</h3>waarvan één gesigneerd, gedateerd en genummerd in potlood 'Westerik 1957 HC.' (onderaan)",published,EUR,400.0,600.0,200.0,200.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9db28ed9-6f6a-4d37-8bfb-844cb86550fd/ce3f04c0-fe32-4b2f-a91d-9c686c0a4ba5/0001_wASrjg_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9db28ed9-6f6a-4d37-8bfb-844cb86550fd/7bf79ed5-096c-4a8a-8a70-86405c4c68ae/0002_vSDVFb_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/9db28ed9-6f6a-4d37-8bfb-844cb86550fd/b832296c-fe0d-45d2-985c-31081af06fd8/0003_zqiDej_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Co Westerik (1924-2018) (2x)"", ""period"": null, ""signature_dating"": ""waarvan één gesigneerd, gedateerd en genummerd in potlood 'Westerik 1957 HC.' (onderaan)"", ""technique_size"": ""beide ets, 8,5x10 cm (22x22 cm incl. lijst); 21x26,5 cm (34x39 cm incl. lijst)"", ""title"": ""Zonder titel"", ""total"": null, ""weight_size_quality"": null}"
8a1834e3-d754-4b97-9f20-6da4debe28a2,10007,26-0528/65,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Landschapstudies,"Johannes Jacob Lambertus Vlaanderen (1867-1936) (3x), Landschapstudies","<h3>Painter / Artist / School</h3>Johannes Jacob Lambertus Vlaanderen (1867-1936) (3x)<h3>Literature</h3><p>Herkomst:<br>-Familie van de kunstenaar.</p><h3>Technique / Size</h3>één olieverf op board, 12x28 cm (25,5x42,5 cm incl. lijst); twee olieverf op papier, 20x43,5 cm (38x60 cm incl. lijst)<h3>Signature / Dating</h3>waarvan één gesigneerd 'Joh. V' (linksonder)",published,EUR,300.0,400.0,100.0,100.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/34b51b77-0078-4bdb-b14e-f2fb86998959/90142a60-9557-4915-934e-99fbeeb0fe18/0001_pffhdk_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/34b51b77-0078-4bdb-b14e-f2fb86998959/4d21e3cc-c1d4-4480-b674-727d190d42d3/0002_jXUouC_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/34b51b77-0078-4bdb-b14e-f2fb86998959/058a694b-fe9f-4e33-8ecb-f2c7a2a1311f/0003_QrEcUq_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/34b51b77-0078-4bdb-b14e-f2fb86998959/44506520-4a63-4752-8aaf-63cd7e38f581/0004_pHYNMY_sm.jpeg,4,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Herkomst:<br>-Familie van de kunstenaar.</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Johannes Jacob Lambertus Vlaanderen (1867-1936) (3x)"", ""period"": null, ""signature_dating"": ""waarvan één gesigneerd 'Joh. V' (linksonder)"", ""technique_size"": ""één olieverf op board, 12x28 cm (25,5x42,5 cm incl. lijst); twee olieverf op papier, 20x43,5 cm (38x60 cm incl. lijst)"", ""title"": ""Landschapstudies"", ""total"": null, ""weight_size_quality"": null}"
703fdbc8-02ae-4782-916f-1c1d0b67412b,10008,26-0308/8,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Riet oogsten,"Anthonie Jacobus van Wijngaerdt (1808-1887), Riet oogsten","<h3>Painter / Artist / School</h3>Anthonie Jacobus van Wijngaerdt (1808-1887)<h3>Literature</h3><p>Provenance:<br>-Veiling, Sotheby's, Londen, 10 maart 2004, lot 236.<br>-Privé-collectie, Ierland.</p><h3>Technique / Size</h3>olieverf op doek, 37x57,5 cm (52x72 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd 'AJ v Wijngaerdt fc' (linksonder)",published,EUR,700.0,1000.0,600.0,600.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/f8d2700f-f04d-491e-ac4d-b3899cbb34cd/2c45eb7d-8686-4ce7-b5f5-9a9c53415356/0001_taXyOj_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/f8d2700f-f04d-491e-ac4d-b3899cbb34cd/5061bbcc-da29-4bda-a755-98476a7c117b/0002_aUoilS_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/f8d2700f-f04d-491e-ac4d-b3899cbb34cd/7a06b957-255c-4a22-92c2-85bb87bb5031/0003_JjciFx_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/f8d2700f-f04d-491e-ac4d-b3899cbb34cd/bddf33cf-a965-4ddd-b1f5-decfae11053f/0004_bxoWVH_sm.jpeg,4,"{""artist_retail_right"": false, ""comments"": ""<p>https://rkd.nl/imageslite/3944165&nbsp;</p>"", ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Provenance:<br>-Veiling, Sotheby's, Londen, 10 maart 2004, lot 236.<br>-Privé-collectie, Ierland.</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Anthonie Jacobus van Wijngaerdt (1808-1887)"", ""period"": null, ""signature_dating"": ""gesigneerd 'AJ v Wijngaerdt fc' (linksonder)"", ""technique_size"": ""olieverf op doek, 37x57,5 cm (52x72 cm incl. lijst)"", ""title"": ""Riet oogsten"", ""total"": null, ""weight_size_quality"": null}"
cc0e376e-18d7-45f9-a600-8e2c09496f2a,10009,26-0109/2,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Portret van Antoine Psicha [Psycha] (1838-1911),"August Allebé (1838-1927), Portret van Antoine Psicha [Psycha] (1838-1911)","<h3>Painter / Artist / School</h3>August Allebé (1838-1927)<h3>Literature</h3><p>Tentoongesteld:<br>-Amsterdam, Rijksakademie van Beeldende Kunsten Amsterdam, ‘Tentoonstelling Aug. Allebé’, 19 Aapril-5 mei 1918.</p><p>Provenance:<br>-Collectie Maria Adeline Alice Schweistal (1864-1950), ook gekend als Fanny Psicha.<br>-Private collectie, waarschijnlijk sinds 1942.</p><h3>Technique / Size</h3>olieverf op paneel, 33,5x28,5 cm<h3>Extra Text</h3><p>Bekend bij het RKD, te vinden onder RKD Images nr. 20331.&nbsp;</p>",published,EUR,500.0,700.0,300.0,300.0,,1,0,,,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/a947b159-b309-4c4f-bb2b-2704f4233e81/5435aac7-b96d-4762-bd3c-b6933c3704d1/0001_DJvKLh_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/a947b159-b309-4c4f-bb2b-2704f4233e81/f62340c7-82b6-47ce-a69d-4040dd86c459/0002_FNAwJJ_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/a947b159-b309-4c4f-bb2b-2704f4233e81/4df6472e-c0c1-4195-b25d-77aa7d2a9f44/0003_xnXWDf_sm.jpeg,3,"{""artist_retail_right"": false, ""comments"": ""<p><a href=\""https://rkd.nl/images/203331\"">https://rkd.nl/images/203331</a>&nbsp;<br>https://rkd.nl/imageslite/3979212</p><p>RKD niks nieuws, gedateerd 1855? - SH</p>"", ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": ""<p>Bekend bij het RKD, te vinden onder RKD Images nr. 20331.&nbsp;</p>"", ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": ""<p>Tentoongesteld:<br>-Amsterdam, Rijksakademie van Beeldende Kunsten Amsterdam, ‘Tentoonstelling Aug. Allebé’, 19 Aapril-5 mei 1918.</p><p>Provenance:<br>-Collectie Maria Adeline Alice Schweistal (1864-1950), ook gekend als Fanny Psicha.<br>-Private collectie, waarschijnlijk sinds 1942.</p>"", ""origin_exhibition_lite"": null, ""painter_artist_school"": ""August Allebé (1838-1927)"", ""period"": null, ""signature_dating"": null, ""technique_size"": ""olieverf op paneel, 33,5x28,5 cm "", ""title"": ""Portret van Antoine Psicha [Psycha] (1838-1911)"", ""total"": null, ""weight_size_quality"": null}"
b3cc7bcb-4e11-4572-87a3-819e993608cc,10010,25-2663/29,67d3691b-0d4a-4615-9e5c-fbf4dfd989e8,723,Vendue Next Door Part 2 Premium | september,Premium schilderijen,Begrafenis ceremonie aan de Ganges,"Marius Bauer (1867-1932) , Begrafenis ceremonie aan de Ganges","<h3>Painter / Artist / School</h3>Marius Bauer (1867-1932)<h3>Technique / Size</h3>ets, 55,5x67,5 cm (83x93,5 cm incl. lijst)<h3>Signature / Dating</h3>gesigneerd in potlood 'MBauer' (rechtsonder); genummerd in potlood 'N. 69' (linksonder); nogmaals gesigneerd in de druk (rechtsonder)",published,EUR,500.0,700.0,300.0,,,1,1,300.0,300.0,True,"Mon, 31 Aug 2026 08:00:00 GMT","Tue, 08 Sep 2026 17:03:00 GMT",https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/202fdec3-0d5c-4242-a117-690e2b5d7539/7726e9e5-440b-4ae7-8ec4-7ff90f66509c/0001_MjxmfU_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/202fdec3-0d5c-4242-a117-690e2b5d7539/072438c6-45bc-4ade-b832-871394bc6094/0002_jsrUvk_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/202fdec3-0d5c-4242-a117-690e2b5d7539/3125f2e3-9f0c-457a-b4ea-1168dc25b287/0003_YbngnW_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/202fdec3-0d5c-4242-a117-690e2b5d7539/f24f9c25-5a10-4553-9807-633330df26b8/0004_vJOgso_sm.jpeg;https://media.app.artisio.co/media/3fc437c0-fdbb-4208-955a-90293eab416d/inventory/202fdec3-0d5c-4242-a117-690e2b5d7539/572c73ea-a6d0-4caa-a316-7b0fbafa9c96/0005_RESjyN_sm.jpeg,5,"{""artist_retail_right"": false, ""comments"": null, ""condition"": null, ""condition_report"": null, ""dimensions"": null, ""extra_text"": null, ""footnote"": null, ""header"": null, ""internal_reference"": null, ""keurkamer"": false, ""literature"": null, ""origin_exhibition_lite"": null, ""painter_artist_school"": ""Marius Bauer (1867-1932) "", ""period"": null, ""signature_dating"": ""gesigneerd in potlood 'MBauer' (rechtsonder); genummerd in potlood 'N. 69' (linksonder); nogmaals gesigneerd in de druk (rechtsonder)"", ""technique_size"": ""ets, 55,5x67,5 cm (83x93,5 cm incl. lijst)"", ""title"": ""Begrafenis ceremonie aan de Ganges"", ""total"": null, ""weight_size_quality"": null}"
